"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"it-q",0.676,0.765,0.382,0.794,0.529,0.353,0.733,0.647,0.765,0.364,0.677,0.441,0.412,0.529,0.294,0.235,0.441,0.382,0.412,0.242,0.441,0.529,0.265,0.303,0.382,0.235,0.235,0.265,0.441,0.206,0.382,0.676,0.242,0.265,0.29,0.235,0.294,0.323,0.353,0.2,0.406,0.265,0.382,0.294,0.353,0.235,0.281,0.207,0.667,0.194,0,0.121,0.323,0.172,0.667,0.667,0.522,0.567,0.333,0.346,0.212
"vg",0.636,0.727,0.424,0.758,0.515,0.333,0.724,0.576,0.727,0.242,0.667,0.424,0.364,0.485,0.273,0.273,0.424,0.303,0.424,0.312,0.394,0.576,0.273,0.344,0.364,0.273,0.242,0.303,0.455,0.242,0.424,0.667,0.281,0.303,0.333,0.242,0.333,0.367,0.394,0.207,0.355,0.121,0.303,0.273,0.333,0.121,0.194,0.143,0.655,0.067,0.121,0,0.3,0.179,0.615,0.654,0.478,0.552,0.31,0.32,0.188
"syr-p",0.581,0.774,0.323,0.677,0.516,0.548,0.667,0.645,0.677,0.433,0.607,0.516,0.484,0.452,0.323,0.355,0.581,0.452,0.516,0.4,0.484,0.484,0.387,0.367,0.29,0.323,0.323,0.355,0.419,0.258,0.419,0.548,0.3,0.323,0.276,0.29,0.323,0.357,0.355,0.25,0.586,0.29,0.484,0.452,0.516,0.387,0.552,0.423,0.714,0.321,0.323,0.3,0,0.207,0.481,0.731,0.619,0.444,0.357,0.391,0.267
"syr-h",0.655,0.828,0.172,0.793,0.483,0.448,0.72,0.724,0.793,0.357,0.692,0.517,0.379,0.483,0.138,0.138,0.586,0.414,0.379,0.179,0.379,0.483,0.172,0.143,0.172,0.172,0.172,0.138,0.379,0.103,0.207,0.655,0.071,0.103,0.148,0.207,0.103,0.115,0.138,0.077,0.5,0.241,0.448,0.414,0.483,0.276,0.444,0.32,0.808,0.192,0.172,0.179,0.207,0,0.6,0.72,0.55,0.593,0.346,0.318,0.069
"syr-s",0.481,0.519,0.593,0.444,0.63,0.667,0.435,0.37,0.556,0.654,0.5,0.444,0.556,0.407,0.593,0.667,0.444,0.481,0.593,0.654,0.519,0.519,0.63,0.577,0.63,0.667,0.556,0.667,0.519,0.593,0.704,0.481,0.615,0.63,0.6,0.593,0.63,0.625,0.556,0.625,0.68,0.63,0.593,0.741,0.704,0.63,0.731,0.727,0.542,0.56,0.667,0.615,0.481,0.6,0,0.522,0.667,0.167,0.542,0.3,0.615
"cop-sa",0.296,0.333,0.778,0.333,0.407,0.741,0.261,0.37,0.407,0.769,0.36,0.63,0.741,0.63,0.667,0.704,0.556,0.667,0.593,0.654,0.704,0.444,0.667,0.731,0.815,0.778,0.704,0.741,0.481,0.741,0.778,0.37,0.704,0.704,0.72,0.667,0.741,0.769,0.815,0.708,0.68,0.704,0.63,0.63,0.704,0.63,0.615,0.667,0.375,0.625,0.667,0.654,0.731,0.72,0.522,0,0.19,0.56,0.609,0.65,0.692
"cop-bo",0.333,0.375,0.583,0.417,0.208,0.542,0.333,0.583,0.375,0.583,0.348,0.583,0.625,0.5,0.5,0.458,0.542,0.542,0.417,0.435,0.625,0.333,0.5,0.542,0.583,0.583,0.542,0.5,0.458,0.542,0.542,0.292,0.5,0.5,0.524,0.5,0.542,0.696,0.708,0.476,0.619,0.522,0.478,0.391,0.565,0.522,0.435,0.45,0.5,0.45,0.522,0.478,0.619,0.55,0.667,0.19,0,0.609,0.526,0.706,0.545
"arm",0.516,0.677,0.516,0.581,0.677,0.742,0.556,0.323,0.581,0.6,0.483,0.419,0.484,0.29,0.581,0.548,0.419,0.355,0.581,0.533,0.419,0.581,0.548,0.567,0.516,0.548,0.516,0.548,0.581,0.516,0.645,0.548,0.586,0.613,0.571,0.516,0.613,0.643,0.613,0.519,0.759,0.6,0.733,0.733,0.733,0.6,0.724,0.654,0.692,0.63,0.567,0.552,0.444,0.593,0.167,0.56,0.609,0,0.577,0.292,0.6
"eth",0.6,0.7,0.4,0.7,0.467,0.467,0.667,0.633,0.667,0.414,0.778,0.533,0.533,0.6,0.4,0.333,0.533,0.567,0.5,0.379,0.467,0.567,0.367,0.379,0.433,0.333,0.367,0.367,0.533,0.367,0.4,0.6,0.345,0.333,0.333,0.3,0.367,0.407,0.433,0.296,0.5,0.367,0.433,0.467,0.433,0.3,0.286,0.5,0.615,0.333,0.333,0.31,0.357,0.346,0.542,0.609,0.526,0.577,0,0.435,0.276
"geo",0.5,0.654,0.423,0.577,0.654,0.577,0.609,0.5,0.615,0.52,0.625,0.385,0.346,0.308,0.346,0.462,0.346,0.269,0.423,0.44,0.308,0.577,0.423,0.36,0.423,0.423,0.269,0.462,0.462,0.346,0.5,0.615,0.4,0.423,0.44,0.423,0.423,0.478,0.385,0.375,0.667,0.385,0.577,0.538,0.577,0.462,0.542,0.478,0.565,0.304,0.346,0.32,0.391,0.318,0.3,0.65,0.706,0.292,0.435,0,0.4
"slav",0.606,0.758,0.242,0.727,0.424,0.424,0.655,0.697,0.727,0.312,0.633,0.485,0.455,0.606,0.212,0.212,0.545,0.455,0.424,0.219,0.333,0.485,0.242,0.25,0.273,0.152,0.273,0.182,0.424,0.152,0.273,0.606,0.156,0.182,0.2,0.242,0.182,0.2,0.242,0.069,0.469,0.273,0.485,0.424,0.455,0.273,0.387,0.357,0.759,0.233,0.212,0.188,0.267,0.069,0.615,0.692,0.545,0.6,0.276,0.4,0
