"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"f-13",0.714,0.857,0.486,0.771,0.714,0.486,0.774,0.686,0.743,0.324,0.781,0.429,0,0.257,0.429,0.4,0.457,0.343,0.429,0.471,0.457,0.657,0.343,0.324,0.429,0.4,0.314,0.4,0.543,0.314,0.4,0.829,0.394,0.371,0.406,0.343,0.343,0.5,0.429,0.387,0.531,0.441,0.471,0.471,0.529,0.5,0.438,0.379,0.8,0.387,0.412,0.364,0.484,0.379,0.556,0.741,0.625,0.484,0.533,0.346,0.455
"28",0.6,0.743,0.429,0.657,0.686,0.543,0.613,0.486,0.571,0.471,0.594,0.4,0.257,0,0.543,0.486,0.429,0.257,0.543,0.529,0.371,0.657,0.486,0.471,0.457,0.514,0.343,0.486,0.629,0.486,0.486,0.657,0.485,0.486,0.438,0.457,0.457,0.625,0.543,0.484,0.656,0.5,0.5,0.559,0.559,0.618,0.562,0.483,0.7,0.548,0.529,0.485,0.452,0.483,0.407,0.63,0.5,0.29,0.6,0.308,0.606
"157",0.629,0.743,0.229,0.743,0.543,0.543,0.742,0.686,0.743,0.471,0.656,0.6,0.429,0.543,0,0.171,0.543,0.429,0.457,0.118,0.4,0.457,0.171,0.118,0.229,0.286,0.257,0.2,0.314,0.229,0.229,0.657,0.061,0.086,0.125,0.143,0.114,0.188,0.2,0.097,0.531,0.324,0.5,0.471,0.529,0.353,0.469,0.448,0.733,0.226,0.294,0.273,0.323,0.138,0.593,0.667,0.5,0.581,0.4,0.346,0.212
"180",0.686,0.8,0.171,0.8,0.6,0.514,0.71,0.657,0.743,0.441,0.656,0.543,0.4,0.486,0.171,0,0.543,0.486,0.457,0.059,0.343,0.514,0.057,0.088,0.229,0.257,0.2,0.086,0.486,0.229,0.171,0.657,0.061,0.086,0.125,0.114,0.114,0.188,0.229,0.097,0.469,0.382,0.529,0.471,0.529,0.353,0.406,0.379,0.833,0.355,0.235,0.273,0.355,0.138,0.667,0.704,0.458,0.548,0.333,0.462,0.212
"205",0.6,0.571,0.6,0.629,0.571,0.657,0.516,0.457,0.571,0.471,0.594,0.057,0.457,0.429,0.543,0.543,0,0.4,0.486,0.529,0.514,0.571,0.543,0.559,0.6,0.457,0.514,0.571,0.543,0.457,0.514,0.629,0.576,0.6,0.594,0.514,0.629,0.594,0.543,0.516,0.562,0.5,0.618,0.559,0.676,0.5,0.531,0.586,0.6,0.419,0.441,0.424,0.581,0.586,0.444,0.556,0.542,0.419,0.533,0.346,0.545
"565",0.571,0.686,0.486,0.686,0.657,0.4,0.645,0.514,0.6,0.265,0.625,0.429,0.343,0.257,0.429,0.486,0.4,0,0.571,0.471,0.4,0.571,0.486,0.5,0.4,0.429,0.371,0.457,0.543,0.4,0.514,0.629,0.455,0.486,0.469,0.486,0.457,0.594,0.571,0.419,0.562,0.324,0.412,0.412,0.412,0.441,0.438,0.379,0.633,0.29,0.382,0.303,0.452,0.414,0.481,0.667,0.542,0.355,0.567,0.269,0.455
"579",0.543,0.629,0.457,0.571,0.429,0.514,0.452,0.714,0.543,0.5,0.656,0.429,0.429,0.543,0.457,0.457,0.486,0.571,0,0.471,0.6,0.486,0.457,0.471,0.429,0.4,0.429,0.457,0.314,0.371,0.514,0.514,0.455,0.486,0.562,0.457,0.486,0.406,0.371,0.323,0.594,0.412,0.588,0.412,0.559,0.412,0.531,0.517,0.7,0.419,0.412,0.424,0.516,0.379,0.593,0.593,0.417,0.581,0.5,0.423,0.424
"597",0.647,0.765,0.176,0.765,0.618,0.529,0.667,0.647,0.706,0.485,0.581,0.588,0.471,0.529,0.118,0.059,0.529,0.471,0.471,0,0.294,0.471,0.118,0.121,0.294,0.265,0.265,0.088,0.412,0.235,0.176,0.618,0.062,0.088,0.129,0.118,0.118,0.226,0.265,0.1,0.484,0.424,0.545,0.485,0.545,0.394,0.419,0.393,0.793,0.333,0.242,0.312,0.4,0.179,0.654,0.654,0.435,0.533,0.379,0.44,0.219
"700",0.6,0.743,0.314,0.657,0.686,0.514,0.613,0.514,0.571,0.471,0.531,0.543,0.457,0.371,0.4,0.343,0.514,0.4,0.6,0.294,0,0.657,0.343,0.353,0.4,0.457,0.371,0.314,0.543,0.429,0.371,0.629,0.364,0.371,0.312,0.4,0.343,0.5,0.457,0.387,0.562,0.471,0.559,0.529,0.529,0.529,0.5,0.448,0.733,0.452,0.441,0.394,0.484,0.379,0.519,0.704,0.625,0.419,0.467,0.308,0.333
"892",0.314,0.429,0.543,0.314,0.286,0.686,0.29,0.686,0.4,0.618,0.281,0.571,0.657,0.657,0.457,0.514,0.571,0.571,0.486,0.471,0.657,0,0.514,0.5,0.571,0.543,0.6,0.514,0.343,0.514,0.571,0.2,0.515,0.486,0.469,0.486,0.486,0.5,0.514,0.452,0.719,0.618,0.676,0.588,0.706,0.559,0.656,0.655,0.533,0.516,0.529,0.576,0.484,0.483,0.519,0.444,0.333,0.581,0.567,0.577,0.485
