"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"33",0.576,0.548,0.303,0.515,0.667,0.485,0.758,0.485,0.606,0.667,0.424,0.758,0,0.242,0.273,0.636,0.562,0.152,0.25,0.364,0.333,0.273,0.242,0.333,0.242,0.303,0.267,0.394,0.364,0.273,0.483,0.25,0.273,0.333,0.303,0.273,0.258,0.241,0.5,0.452,0.677,0.516,0.562,0.414,0.625,0.645,0.438,0.5,0.458,0.387,0.393,0.276,0.692,0.542,0.37,0.621,0.333,0.667,0.3
"157",0.6,0.636,0.057,0.657,0.714,0.6,0.6,0.657,0.6,0.543,0.286,0.6,0.242,0,0.057,0.514,0.618,0.257,0.029,0.4,0.371,0.029,0,0.143,0.2,0.057,0.062,0.371,0.257,0.029,0.613,0,0.029,0.086,0.057,0.029,0.091,0.067,0.531,0.364,0.697,0.455,0.647,0.323,0.618,0.667,0.324,0.412,0.538,0.273,0.233,0.097,0.667,0.52,0.552,0.548,0.29,0.522,0.156
"180",0.571,0.606,0.057,0.629,0.686,0.571,0.6,0.629,0.543,0.543,0.286,0.6,0.273,0.057,0,0.514,0.618,0.229,0.029,0.4,0.343,0.029,0.057,0.143,0.2,0.057,0.031,0.343,0.257,0.029,0.581,0.029,0.029,0.086,0.057,0.029,0.152,0.1,0.594,0.424,0.697,0.515,0.647,0.355,0.618,0.636,0.382,0.412,0.5,0.333,0.2,0.065,0.667,0.48,0.517,0.516,0.258,0.522,0.156
"205",0.686,0.727,0.457,0.8,0.657,0.714,0.486,0.771,0.514,0.057,0.457,0.371,0.636,0.514,0.514,0,0.471,0.6,0.529,0.6,0.629,0.486,0.514,0.486,0.486,0.457,0.5,0.629,0.486,0.471,0.806,0.5,0.486,0.486,0.457,0.486,0.576,0.4,0.562,0.545,0.606,0.485,0.647,0.613,0.559,0.515,0.559,0.5,0.538,0.515,0.5,0.548,0.37,0.56,0.621,0.452,0.548,0.348,0.406
"565",0.529,0.719,0.559,0.735,0.382,0.618,0.559,0.706,0.206,0.441,0.412,0.382,0.562,0.618,0.618,0.471,0,0.559,0.636,0.265,0.559,0.588,0.618,0.588,0.588,0.559,0.581,0.676,0.5,0.576,0.8,0.606,0.588,0.588,0.559,0.588,0.562,0.517,0.387,0.5,0.344,0.406,0.394,0.581,0.394,0.312,0.545,0.545,0.36,0.5,0.586,0.633,0.462,0.64,0.643,0.387,0.433,0.591,0.469
"579",0.6,0.545,0.257,0.543,0.714,0.429,0.714,0.514,0.571,0.629,0.343,0.686,0.152,0.257,0.229,0.6,0.559,0,0.265,0.4,0.286,0.229,0.257,0.286,0.229,0.257,0.188,0.4,0.229,0.235,0.516,0.235,0.229,0.286,0.257,0.229,0.303,0.233,0.562,0.485,0.727,0.576,0.618,0.484,0.676,0.667,0.471,0.5,0.538,0.424,0.4,0.29,0.667,0.52,0.379,0.548,0.29,0.565,0.25
"597",0.588,0.656,0.088,0.647,0.676,0.618,0.618,0.676,0.559,0.559,0.324,0.618,0.25,0.029,0.029,0.529,0.636,0.265,0,0.382,0.382,0.059,0.029,0.176,0.235,0.088,0.065,0.382,0.294,0.061,0.6,0.03,0.059,0.118,0.088,0.059,0.125,0.103,0.548,0.406,0.656,0.469,0.606,0.3,0.576,0.625,0.364,0.364,0.48,0.312,0.172,0.067,0.654,0.542,0.571,0.516,0.3,0.522,0.194
"700",0.571,0.667,0.457,0.714,0.429,0.629,0.686,0.714,0.314,0.571,0.429,0.571,0.364,0.4,0.4,0.6,0.265,0.4,0.382,0,0.429,0.429,0.4,0.486,0.514,0.457,0.375,0.514,0.429,0.441,0.71,0.412,0.429,0.486,0.457,0.429,0.394,0.4,0.469,0.394,0.394,0.424,0.412,0.516,0.412,0.424,0.382,0.412,0.385,0.333,0.467,0.419,0.556,0.56,0.552,0.387,0.29,0.609,0.406
"892",0.457,0.333,0.343,0.343,0.686,0.314,0.686,0.4,0.514,0.629,0.543,0.629,0.333,0.371,0.343,0.629,0.559,0.286,0.382,0.429,0,0.343,0.371,0.343,0.314,0.343,0.281,0.2,0.257,0.353,0.355,0.353,0.343,0.371,0.371,0.343,0.394,0.333,0.625,0.455,0.697,0.515,0.618,0.452,0.588,0.606,0.353,0.559,0.577,0.303,0.367,0.387,0.63,0.4,0.241,0.613,0.258,0.565,0.25
"1006",0.571,0.606,0.029,0.629,0.714,0.571,0.571,0.629,0.571,0.514,0.257,0.571,0.273,0.029,0.029,0.486,0.588,0.229,0.059,0.429,0.343,0,0.029,0.114,0.171,0.029,0.031,0.343,0.229,0,0.581,0,0,0.057,0.029,0,0.121,0.067,0.562,0.394,0.727,0.485,0.676,0.355,0.647,0.667,0.353,0.441,0.538,0.303,0.233,0.097,0.667,0.48,0.517,0.548,0.258,0.522,0.125
