"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","011","013","042","Lect","it-aur","it-c","it-d","it-ff-2","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","slav"
"28",0.4,0.6,0.286,0.567,0.433,0.677,0.5,0.545,0.294,0.394,0.562,0.161,0.229,0,0.286,0.286,0.229,0.114,0.471,0.429,0.171,0.257,0.412,0.2,0.147,0.2,0.2,0.229,0.171,0.324,0.265,0.171,0.471,0.121,0.2,0.121,0.219,0.217,0.182,0.382,0.706,0.714,0.533,0.793,0.364,0.414,0.387,0.379,0.37,0.48,0.538,0.56,0.655,0.484,0.303
"33",0.565,0.565,0.357,0.696,0.348,0.708,0.48,0.538,0.222,0.481,0.56,0.208,0.179,0.286,0,0.357,0.321,0.321,0.444,0.286,0.286,0.321,0.259,0.214,0.259,0.179,0.25,0.214,0.286,0.407,0.222,0.286,0.444,0.231,0.286,0.25,0.32,0.312,0.308,0.407,0.593,0.667,0.478,0.773,0.462,0.364,0.48,0.261,0.095,0.684,0.429,0.524,0.455,0.36,0.192
"157",0.433,0.633,0.2,0.567,0.433,0.677,0.594,0.606,0.382,0.515,0.5,0.355,0.4,0.286,0.357,0,0.143,0.286,0.618,0.457,0.143,0.314,0.441,0.143,0.118,0.229,0.171,0.2,0.143,0.382,0.294,0.114,0.412,0.121,0.086,0.152,0.125,0.217,0.152,0.382,0.618,0.643,0.467,0.724,0.303,0.276,0.323,0.276,0.222,0.56,0.615,0.64,0.69,0.419,0.273
"180",0.5,0.667,0.171,0.6,0.467,0.774,0.562,0.606,0.294,0.485,0.562,0.29,0.343,0.229,0.321,0.143,0,0.229,0.588,0.429,0.057,0.229,0.441,0.143,0.088,0.171,0.086,0.086,0.057,0.324,0.176,0.086,0.441,0.061,0.114,0.121,0.094,0.174,0.061,0.382,0.676,0.75,0.467,0.793,0.303,0.414,0.323,0.31,0.222,0.68,0.615,0.6,0.69,0.419,0.212
"205",0.467,0.567,0.229,0.6,0.467,0.71,0.438,0.545,0.294,0.394,0.531,0.032,0.229,0.114,0.321,0.286,0.229,0,0.471,0.4,0.171,0.2,0.412,0.2,0.147,0.2,0.2,0.229,0.171,0.324,0.265,0.171,0.471,0.121,0.2,0.121,0.219,0.217,0.182,0.324,0.676,0.643,0.467,0.724,0.303,0.379,0.323,0.379,0.37,0.44,0.615,0.6,0.552,0.452,0.303
"565",0.69,0.724,0.618,0.793,0.621,0.633,0.581,0.5,0.545,0.125,0.645,0.467,0.353,0.471,0.444,0.618,0.588,0.471,0,0.559,0.588,0.382,0.545,0.529,0.576,0.441,0.559,0.529,0.588,0.636,0.515,0.588,0.636,0.562,0.588,0.5,0.562,0.522,0.594,0.485,0.667,0.63,0.483,0.714,0.531,0.571,0.5,0.517,0.481,0.5,0.6,0.48,0.276,0.533,0.406
"579",0.567,0.4,0.486,0.667,0.333,0.774,0.353,0.545,0.353,0.606,0.5,0.419,0.429,0.429,0.286,0.457,0.429,0.4,0.559,0,0.4,0.4,0.382,0.314,0.382,0.343,0.371,0.343,0.4,0.471,0.382,0.4,0.529,0.364,0.371,0.364,0.438,0.478,0.424,0.441,0.529,0.714,0.5,0.806,0.424,0.483,0.452,0.379,0.37,0.56,0.464,0.5,0.517,0.303,0.333
"597",0.433,0.6,0.114,0.6,0.4,0.774,0.5,0.636,0.294,0.515,0.5,0.226,0.314,0.171,0.286,0.143,0.057,0.171,0.588,0.4,0,0.2,0.412,0.114,0.029,0.143,0.029,0.057,0,0.324,0.147,0.029,0.441,0,0.057,0.061,0.062,0.13,0.061,0.382,0.676,0.75,0.467,0.793,0.303,0.414,0.323,0.276,0.222,0.64,0.577,0.6,0.69,0.387,0.242
"700",0.533,0.667,0.257,0.667,0.5,0.742,0.562,0.545,0.382,0.333,0.562,0.258,0.257,0.257,0.321,0.314,0.229,0.2,0.382,0.4,0.2,0,0.471,0.171,0.176,0.171,0.229,0.2,0.2,0.412,0.235,0.2,0.5,0.152,0.229,0.152,0.25,0.174,0.212,0.382,0.706,0.714,0.5,0.828,0.303,0.517,0.355,0.345,0.296,0.56,0.577,0.52,0.586,0.387,0.303
"892",0.448,0.379,0.529,0.483,0.483,0.767,0.281,0.469,0.333,0.594,0.258,0.4,0.412,0.412,0.259,0.441,0.441,0.412,0.545,0.382,0.412,0.471,0,0.324,0.394,0.382,0.441,0.353,0.412,0.353,0.353,0.412,0.441,0.375,0.382,0.344,0.484,0.478,0.406,0.515,0.636,0.778,0.69,0.714,0.531,0.483,0.467,0.429,0.385,0.583,0.48,0.333,0.536,0.333,0.406
