"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"1241",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"1243",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"1292",32,30,32,32,32,32,32,32,32,32,32,32,30,32,32,32,31,32,31,32,32,32,32,32,32,32,32,32,32,31,28,31,32,32,32,32,30,27,31,31,31,31,32,29,32,31,32,32,25,31,28,29,26,23,27,28,29,21,30
"1342",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"1424",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"1505",34,32,34,34,34,34,34,34,34,34,34,34,33,34,34,34,33,34,33,34,34,34,34,34,34,34,31,34,34,34,30,33,34,34,34,34,32,30,31,32,32,32,33,30,33,32,33,33,25,32,29,30,26,24,28,30,30,22,31
"2427",31,29,31,31,31,31,31,31,31,31,31,31,29,31,31,31,30,31,30,31,31,31,31,31,31,31,28,31,31,30,31,30,31,31,31,31,29,26,28,29,29,29,30,27,30,29,30,30,22,29,26,27,24,23,25,27,27,19,28
"Byz",34,32,34,34,34,34,34,34,34,34,34,34,32,34,34,34,33,34,33,34,34,34,34,34,34,34,31,34,34,33,30,34,34,34,34,34,32,30,31,32,32,32,33,30,33,32,33,33,25,32,30,31,26,24,28,30,30,22,31
"07",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"09",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
