"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","011","013","042","Lect","it-aur","it-c","it-d","it-ff-2","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","slav"
"1241",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"1243",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"1292",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"1342",29,29,34,29,29,30,32,32,33,32,31,30,34,34,27,34,34,34,33,34,34,34,34,34,33,34,34,34,34,34,34,34,34,32,34,32,31,23,32,33,33,27,29,28,32,29,30,28,26,24,25,24,28,30,32
"1424",29,29,34,29,29,30,32,32,33,32,31,30,34,34,27,34,34,34,33,34,34,34,34,34,33,34,34,34,34,34,34,34,34,32,34,32,31,23,32,33,33,27,29,28,32,29,30,28,26,24,25,24,28,30,32
"1505",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"2427",29,29,34,29,29,30,32,32,33,32,31,30,34,34,27,34,34,34,33,34,34,34,34,34,33,34,34,34,34,34,34,34,34,32,34,32,31,23,32,33,33,27,29,28,32,29,30,28,26,24,25,24,28,30,32
"Byz",28,28,33,28,29,29,30,31,32,31,30,29,33,33,26,33,33,33,32,33,33,33,32,33,33,33,33,33,33,32,32,33,32,33,33,31,30,21,32,32,32,26,28,27,31,27,29,27,27,23,24,23,28,29,31
"07",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"011",28,28,33,28,28,29,30,31,32,31,30,29,33,33,28,33,33,33,32,33,33,33,32,33,32,33,33,33,33,32,32,33,32,31,33,33,30,21,31,32,32,26,28,27,31,27,29,27,25,23,25,24,27,29,31
"013",27,27,32,27,27,28,29,30,31,30,29,29,32,32,25,32,32,32,32,32,32,32,31,32,31,32,32,32,32,31,31,32,31,30,32,30,32,22,30,31,31,25,28,26,30,26,28,28,26,23,24,25,28,28,30
"042",23,23,23,23,18,23,21,23,22,21,22,23,23,23,16,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,21,23,21,22,23,21,22,22,21,22,22,22,20,21,20,19,20,15,16,19,20,21
"Lect",28,28,33,28,30,29,30,31,32,31,30,29,33,33,26,33,33,33,32,33,33,33,32,33,33,33,33,33,33,32,32,33,32,32,33,31,30,21,33,32,32,26,28,27,31,27,29,27,26,23,24,23,27,29,31
"it-aur",29,29,34,29,29,30,31,32,33,32,31,30,34,34,27,34,34,34,33,34,34,34,33,34,33,34,34,34,34,33,33,34,33,32,34,32,31,22,32,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"it-c",29,29,34,29,29,30,31,32,33,32,31,30,34,34,27,34,34,34,33,34,34,34,33,34,33,34,34,34,34,33,33,34,33,32,34,32,31,22,32,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"it-d",28,28,28,28,23,28,25,26,27,26,26,27,28,28,21,28,28,28,27,28,28,28,27,28,27,28,28,28,28,27,27,28,27,26,28,26,25,21,26,28,28,28,27,28,28,23,27,23,22,24,20,19,24,26,27
"it-ff-2",28,28,30,28,25,29,27,28,29,28,27,29,30,30,23,30,30,30,29,30,30,30,29,30,29,30,30,30,30,29,29,30,29,28,30,28,28,22,28,30,30,27,30,28,30,25,28,26,25,25,23,22,26,28,29
"it-k",29,29,29,29,24,29,28,27,28,27,29,28,29,29,22,29,29,29,28,31,29,29,28,29,28,29,29,29,29,28,28,29,28,27,29,27,26,22,27,29,29,28,28,31,29,24,28,24,23,25,23,21,24,29,28
"it-l",29,29,33,29,28,30,30,31,32,31,30,30,33,33,26,33,33,33,32,33,33,33,32,33,32,33,33,33,33,32,32,33,32,31,33,31,30,22,31,33,33,28,30,29,33,28,31,28,26,25,25,24,28,30,32
"it-q",24,24,29,24,24,25,29,29,28,27,26,25,29,29,22,29,29,29,28,29,29,29,29,29,28,29,29,29,29,29,29,29,29,27,29,27,26,20,27,29,29,23,25,24,28,29,26,25,23,21,22,22,24,26,28
"vg",28,28,31,28,26,29,28,29,30,29,28,29,31,31,25,31,31,31,30,31,31,31,30,31,30,31,31,31,31,30,30,31,30,29,31,29,28,21,29,31,31,27,28,28,31,26,31,27,25,25,24,23,26,29,30
"syr-p",24,24,29,24,24,25,26,28,28,27,27,26,29,29,23,29,29,29,29,29,29,29,28,29,28,29,29,29,29,28,28,29,28,27,29,27,28,20,27,29,29,23,26,24,28,25,27,29,26,24,23,24,26,28,28
"syr-h",23,23,27,23,23,24,24,26,26,25,24,25,27,27,21,27,27,27,27,27,27,27,26,27,27,27,27,27,27,26,26,27,26,27,27,25,26,19,26,27,27,22,25,23,26,23,25,26,27,22,21,21,25,26,26
"syr-s",25,25,25,25,20,25,22,24,24,23,24,25,25,25,19,25,25,25,24,25,25,25,24,25,24,25,25,25,25,24,24,25,24,23,25,23,23,20,23,25,25,24,25,25,25,21,25,24,22,25,19,19,21,25,24
"cop-sa",21,21,26,21,22,22,26,24,26,25,25,23,26,26,21,26,26,26,25,28,26,26,25,26,25,26,26,26,26,25,25,26,25,24,26,25,24,15,24,26,26,20,23,23,25,22,24,23,21,19,28,21,23,26,25
"cop-bo",20,20,25,20,20,21,24,24,24,23,24,22,25,25,21,25,25,25,25,26,25,25,24,25,24,25,25,25,25,24,24,25,24,23,25,24,25,16,23,25,25,19,22,21,24,22,23,24,21,19,21,26,22,25,24
"arm",24,24,29,24,24,25,26,27,28,27,26,26,29,29,22,29,29,29,29,29,29,29,28,29,28,29,29,29,29,28,28,29,28,28,29,27,28,19,27,29,29,24,26,24,28,24,26,26,25,21,23,22,29,26,28
"eth",27,27,31,27,26,28,30,29,30,29,31,28,31,31,25,31,31,31,30,33,31,31,30,31,30,31,31,31,31,30,30,31,30,29,31,29,28,20,29,31,31,26,28,29,30,26,29,28,26,25,26,25,26,33,30
"slav",28,28,33,28,29,29,30,31,32,31,30,29,33,33,26,33,33,33,32,33,33,33,32,33,32,33,33,33,33,32,32,33,32,31,33,31,30,21,31,33,33,27,29,28,32,28,30,28,26,24,25,24,28,30,33
