"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"33",0.6,0.529,0.457,0.543,0.536,0.794,0.412,0.771,0.429,0.5,0.371,0.457,0.343,0,0.333,0.371,0.371,0.4,0.545,0.314,0.457,0.343,0.343,0.382,0.457,0.382,0.4,0.375,0.371,0.441,0.314,0.412,0.344,0.371,0.333,0.438,0.333,0.429,0.29,0.767,0.486,0.686,0.676,0.706,0.618,0.706,0.441,0.562,0.697,0.438,0.379,0.207,0.52,0.45,0.433,0.586,0.367
"157",0.7,0.69,0.267,0.733,0.393,0.655,0.517,0.667,0.5,0.517,0.267,0.367,0.433,0.333,0,0.067,0.267,0.5,0.429,0.067,0.333,0.4,0.1,0.138,0.2,0.133,0.3,0.037,0.3,0.241,0.067,0.621,0.037,0.067,0.071,0.25,0.12,0.267,0.077,0.72,0.467,0.6,0.655,0.724,0.448,0.7,0.483,0.5,0.571,0.407,0.167,0.083,0.6,0.647,0.385,0.583,0.16
"180",0.714,0.765,0.171,0.8,0.393,0.618,0.559,0.657,0.486,0.559,0.286,0.343,0.457,0.371,0.067,0,0.314,0.486,0.364,0.057,0.286,0.429,0.029,0.059,0.2,0.206,0.229,0.031,0.371,0.206,0.057,0.676,0,0,0,0.219,0.033,0.229,0.065,0.667,0.457,0.6,0.618,0.618,0.353,0.676,0.471,0.438,0.606,0.406,0.207,0.103,0.6,0.65,0.467,0.517,0.133
"205",0.686,0.676,0.429,0.657,0.5,0.735,0.441,0.657,0.6,0.412,0.029,0.343,0.429,0.371,0.267,0.314,0,0.4,0.364,0.314,0.343,0.429,0.343,0.353,0.371,0.353,0.343,0.281,0.343,0.294,0.314,0.559,0.281,0.314,0.333,0.375,0.333,0.371,0.226,0.767,0.543,0.629,0.588,0.735,0.471,0.735,0.471,0.5,0.697,0.5,0.31,0.31,0.56,0.5,0.4,0.517,0.3
"565",0.6,0.588,0.571,0.543,0.571,0.735,0.5,0.743,0.571,0.471,0.371,0.429,0.429,0.4,0.5,0.486,0.4,0,0.333,0.457,0.486,0.514,0.514,0.471,0.486,0.382,0.486,0.469,0.371,0.353,0.457,0.529,0.469,0.486,0.485,0.406,0.533,0.486,0.355,0.733,0.543,0.714,0.618,0.647,0.559,0.676,0.471,0.594,0.636,0.5,0.448,0.379,0.64,0.65,0.467,0.483,0.433
"579",0.606,0.656,0.394,0.667,0.423,0.688,0.469,0.667,0.545,0.594,0.333,0.364,0.576,0.545,0.429,0.364,0.364,0.333,0,0.394,0.424,0.424,0.394,0.344,0.424,0.469,0.424,0.333,0.455,0.406,0.394,0.636,0.355,0.364,0.387,0.433,0.429,0.424,0.379,0.75,0.515,0.606,0.531,0.688,0.406,0.719,0.469,0.5,0.742,0.5,0.407,0.407,0.565,0.632,0.464,0.519,0.276
"597",0.771,0.706,0.171,0.8,0.393,0.647,0.559,0.657,0.429,0.529,0.286,0.314,0.4,0.314,0.067,0.057,0.314,0.457,0.394,0,0.343,0.429,0.086,0.118,0.2,0.206,0.286,0.031,0.371,0.206,0,0.706,0.031,0.057,0.061,0.219,0.1,0.229,0.065,0.7,0.4,0.629,0.647,0.647,0.412,0.706,0.412,0.438,0.576,0.375,0.172,0.069,0.52,0.55,0.4,0.448,0.167
"700",0.743,0.735,0.371,0.714,0.429,0.618,0.529,0.686,0.514,0.471,0.343,0.429,0.486,0.457,0.333,0.286,0.343,0.486,0.424,0.343,0,0.514,0.314,0.265,0.343,0.382,0.314,0.312,0.429,0.324,0.343,0.559,0.281,0.286,0.303,0.312,0.333,0.229,0.258,0.6,0.457,0.571,0.529,0.588,0.441,0.618,0.471,0.5,0.606,0.438,0.345,0.414,0.64,0.55,0.4,0.552,0.333
"892",0.514,0.5,0.457,0.514,0.429,0.765,0.294,0.771,0.457,0.529,0.429,0.543,0.6,0.343,0.4,0.429,0.429,0.514,0.424,0.429,0.514,0,0.4,0.412,0.486,0.412,0.4,0.375,0.543,0.471,0.429,0.441,0.375,0.429,0.424,0.438,0.333,0.514,0.452,0.9,0.543,0.771,0.706,0.824,0.559,0.794,0.5,0.625,0.758,0.438,0.414,0.31,0.56,0.4,0.567,0.586,0.4
"1006",0.686,0.735,0.2,0.771,0.393,0.618,0.588,0.686,0.457,0.588,0.314,0.371,0.486,0.343,0.1,0.029,0.343,0.514,0.394,0.086,0.314,0.4,0,0.088,0.229,0.235,0.2,0.062,0.343,0.235,0.086,0.647,0.031,0.029,0.03,0.25,0,0.257,0.097,0.667,0.486,0.629,0.647,0.618,0.382,0.676,0.5,0.438,0.606,0.406,0.207,0.103,0.6,0.65,0.467,0.552,0.133
"1010",0.706,0.788,0.176,0.794,0.407,0.636,0.576,0.676,0.441,0.606,0.324,0.382,0.471,0.382,0.138,0.059,0.353,0.471,0.344,0.118,0.265,0.412,0.088,0,0.235,0.242,0.235,0.094,0.382,0.212,0.118,0.667,0.032,0.059,0.031,0.129,0.103,0.235,0.1,0.667,0.441,0.618,0.606,0.606,0.394,0.667,0.455,0.484,0.594,0.387,0.214,0.143,0.667,0.65,0.517,0.536,0.172
"1071",0.714,0.676,0.286,0.714,0.393,0.647,0.5,0.686,0.429,0.559,0.343,0.371,0.514,0.457,0.2,0.2,0.371,0.486,0.424,0.2,0.343,0.486,0.229,0.235,0,0.294,0.286,0.188,0.4,0.265,0.2,0.706,0.156,0.2,0.212,0.312,0.267,0.286,0.194,0.7,0.4,0.657,0.618,0.647,0.294,0.706,0.412,0.5,0.606,0.312,0.172,0.207,0.52,0.5,0.4,0.552,0.233
"1241",0.647,0.667,0.382,0.676,0.429,0.727,0.515,0.647,0.529,0.545,0.324,0.441,0.5,0.382,0.133,0.206,0.353,0.382,0.469,0.206,0.382,0.412,0.235,0.242,0.294,0,0.294,0.194,0.353,0.182,0.206,0.576,0.194,0.206,0.188,0.219,0.207,0.294,0.167,0.724,0.471,0.676,0.667,0.697,0.455,0.697,0.424,0.581,0.562,0.387,0.25,0.214,0.583,0.632,0.379,0.464,0.241
"1243",0.714,0.735,0.343,0.771,0.464,0.618,0.529,0.686,0.514,0.529,0.314,0.4,0.571,0.4,0.3,0.229,0.343,0.486,0.424,0.286,0.314,0.4,0.2,0.235,0.286,0.294,0,0.281,0.429,0.294,0.286,0.647,0.219,0.229,0.242,0.281,0.167,0.314,0.258,0.667,0.514,0.629,0.618,0.618,0.353,0.676,0.441,0.438,0.667,0.375,0.276,0.31,0.64,0.55,0.4,0.621,0.233
"1292",0.719,0.71,0.156,0.75,0.28,0.645,0.5,0.594,0.406,0.548,0.25,0.312,0.438,0.375,0.037,0.031,0.281,0.469,0.333,0.031,0.312,0.375,0.062,0.094,0.188,0.194,0.281,0,0.375,0.194,0.031,0.677,0,0.031,0.033,0.172,0.074,0.188,0.036,0.724,0.406,0.625,0.613,0.645,0.387,0.71,0.406,0.483,0.567,0.345,0.192,0.077,0.545,0.579,0.444,0.423,0.143
"1342",0.6,0.559,0.514,0.543,0.464,0.824,0.618,0.714,0.514,0.588,0.371,0.4,0.457,0.371,0.3,0.371,0.343,0.371,0.455,0.371,0.429,0.543,0.343,0.382,0.4,0.353,0.429,0.375,0,0.324,0.371,0.5,0.344,0.371,0.364,0.406,0.367,0.4,0.226,0.7,0.486,0.714,0.618,0.706,0.529,0.647,0.5,0.594,0.576,0.469,0.414,0.276,0.6,0.6,0.467,0.448,0.367
"1424",0.765,0.758,0.382,0.706,0.519,0.758,0.545,0.676,0.559,0.485,0.265,0.353,0.5,0.441,0.241,0.206,0.294,0.353,0.406,0.206,0.324,0.471,0.235,0.212,0.265,0.182,0.294,0.194,0.324,0,0.206,0.606,0.188,0.206,0.188,0.156,0.2,0.235,0.067,0.759,0.471,0.735,0.697,0.697,0.394,0.758,0.424,0.548,0.625,0.419,0.25,0.179,0.542,0.526,0.414,0.357,0.241
"1505",0.771,0.706,0.171,0.8,0.393,0.647,0.559,0.657,0.429,0.529,0.286,0.314,0.4,0.314,0.067,0.057,0.314,0.457,0.394,0,0.343,0.429,0.086,0.118,0.2,0.206,0.286,0.031,0.371,0.206,0,0.706,0.031,0.057,0.061,0.219,0.1,0.229,0.065,0.7,0.4,0.629,0.647,0.647,0.412,0.706,0.412,0.438,0.576,0.375,0.172,0.069,0.52,0.55,0.4,0.448,0.167
"2427",0.324,0.485,0.765,0.206,0.704,0.788,0.394,0.706,0.647,0.636,0.559,0.647,0.529,0.412,0.621,0.676,0.559,0.529,0.636,0.706,0.559,0.441,0.647,0.667,0.706,0.576,0.647,0.677,0.5,0.606,0.706,0,0.656,0.676,0.656,0.613,0.621,0.676,0.6,0.724,0.588,0.676,0.667,0.697,0.667,0.606,0.606,0.774,0.625,0.581,0.679,0.607,0.625,0.474,0.69,0.571,0.6
"Byz",0.719,0.742,0.156,0.781,0.36,0.645,0.516,0.656,0.469,0.516,0.25,0.312,0.438,0.344,0.037,0,0.281,0.469,0.355,0.031,0.281,0.375,0.031,0.032,0.156,0.194,0.219,0,0.344,0.188,0.031,0.656,0,0,0,0.167,0.036,0.188,0.036,0.704,0.438,0.625,0.645,0.645,0.355,0.71,0.452,0.448,0.6,0.379,0.185,0.077,0.591,0.611,0.444,0.5,0.107
