"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"1010",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,32,34,31,34,34,31,34,30,31,33,33,33,33,33,31,28,29,30,33,32,30,28,26,26,24,30,29,25,32
"1071",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1241",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1243",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1292",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1342",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1424",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"1505",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"2427",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"Byz",33,33,33,33,33,33,29,33,33,32,30,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,33,33,33,33,33,33,33,30,33,33,30,33,29,31,33,33,33,33,33,31,29,29,30,33,32,30,28,26,27,22,29,29,25,32
"07",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"09",32,32,32,32,32,32,28,32,32,31,29,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,32,32,32,32,32,30,32,32,32,32,29,32,28,29,31,31,31,31,31,29,26,27,28,31,30,29,27,25,25,21,28,27,25,30
"011",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"013",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"022",32,32,32,32,32,32,28,32,32,31,31,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,32,32,32,32,32,30,32,29,32,32,32,32,28,29,31,31,31,31,31,29,26,27,28,31,30,28,26,24,26,23,28,27,23,30
"042",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"Lect",31,31,31,31,31,31,28,31,31,30,28,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,29,31,28,31,31,28,31,31,29,30,30,30,30,30,28,26,28,27,30,29,28,26,24,24,21,27,27,24,29
"it-a",32,32,32,32,32,32,28,32,32,31,29,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,32,32,32,32,32,31,32,29,32,32,29,32,29,32,32,32,32,32,32,30,27,28,29,32,31,29,28,25,25,21,29,28,24,32
